# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "genome/features.saf" "-F" "SAF" "-T" "8" "-o" "data/counts.txt" "bam/mutant-01.bam" "bam/mutant-02.bam" "bam/mutant-03.bam" "bam/mutant-04.bam" "bam/mutant-05.bam" "bam/mutant-06.bam" "bam/wildtype-01.bam" "bam/wildtype-02.bam" "bam/wildtype-03.bam" "bam/wildtype-04.bam" "bam/wildtype-05.bam" "bam/wildtype-06.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/mutant-01.bam	bam/mutant-02.bam	bam/mutant-03.bam	bam/mutant-04.bam	bam/mutant-05.bam	bam/mutant-06.bam	bam/wildtype-01.bam	bam/wildtype-02.bam	bam/wildtype-03.bam	bam/wildtype-04.bam	bam/wildtype-05.bam	bam/wildtype-06.bam
YAL041W	I	62840	65404	+	2565	145	125	108	165	94	496	61	108	64	124	107	200
YAL040C	I	65778	67520	-	1743	140	138	128	154	107	697	55	150	85	128	140	299
YAL039C	I	68716	69525	-	810	462	357	351	392	311	322	248	222	212	355	246	378
YAL038W	I	71786	73288	+	1503	10932	11613	12605	12624	7865	10363	12934	11711	9867	17950	12917	26551
YAL036C	I	75043	76152	-	1110	62	75	66	81	55	67	51	91	43	69	116	214
YAL035W	I	76427	79435	+	3009	702	610	679	813	399	429	434	669	441	643	705	1456
YAL034C-B	I	79489	79842	-	354	12	2	3	4	1	2	4	9	4	7	5	15
YAL034W-A	I	79718	80587	+	870	32	25	12	33	24	96	12	15	15	19	17	36
YAL034C	I	80710	81951	-	1242	121	110	104	142	78	412	44	83	66	95	60	132
YAL033W	I	82706	83227	+	522	67	52	34	60	29	29	27	41	33	48	45	61
YAL032C	I	83335	84474	-	1140	132	123	120	162	73	229	55	83	62	94	64	128
YAL031C	I	84749	87031	-	2283	198	131	133	176	90	324	69	81	82	110	82	164
YAL030W	I;I	87286;87501	87387;87752	+;+	354	169	146	126	193	128	158	74	93	79	106	75	122
YAL029C	I	87855	92270	-	4416	241	202	231	291	132	197	88	187	135	177	189	425
YAL028W	I	92900	94486	+	1587	116	89	93	130	47	150	56	62	54	82	52	96
YAL027W	I	94687	95472	+	786	70	60	42	61	30	59	21	45	37	44	52	82
YAL026C	I	95630	99697	-	4068	239	199	211	298	140	240	101	165	132	179	164	343
YAL025C	I	100225	101145	-	921	62	47	61	93	43	235	60	156	68	95	209	357
YAL024C	I	101565	105872	-	4308	65	53	58	94	39	88	17	42	26	32	50	78
YAL023C	I	106272	108551	-	2280	730	656	673	759	509	588	411	480	359	599	572	1053
YAL022C	I	108877	110430	-	1554	242	205	190	247	144	145	103	150	105	167	148	244
YAL021C	I	110846	113359	-	2514	215	199	170	226	146	612	116	145	127	231	170	300
YAL020C	I	113614	114615	-	1002	189	167	168	195	153	129	89	117	93	136	147	181
YAL019W	I	114919	118314	+	3396	82	80	85	101	69	126	61	118	68	80	121	270
YAL018C	I	118564	119541	-	978	1	0	0	1	1	4	0	0	0	0	2	0
YAL017W	I	120225	124295	+	4071	294	220	258	318	158	207	151	150	128	221	146	338
YAL016W	I	124879	126786	+	1908	395	313	297	396	246	139	156	288	231	315	250	480
YAL015C	I	126903	128102	-	1200	141	120	87	146	81	158	60	50	42	69	48	81
YAL014C	I	128252	129019	-	768	220	199	192	232	172	308	116	133	95	152	120	230
YAL013W	I	129270	130487	+	1218	306	271	234	310	193	686	116	153	128	163	146	312
YAL012W	I	130799	131983	+	1185	1137	1073	1151	1267	954	1045	691	590	502	858	598	1290
YAL011W	I	132199	134076	+	1878	115	83	99	119	71	93	38	53	58	69	74	147
YAL010C	I	134184	135665	-	1482	81	55	63	89	44	116	32	53	30	50	43	82
YAL009W	I	135854	136633	+	780	91	56	69	80	56	48	30	60	50	53	30	84
YAL008W	I	136914	137510	+	597	93	108	70	107	80	28	42	63	77	91	34	103
YAL007C	I	137698	138345	-	648	241	192	230	230	167	90	92	159	111	173	121	270
YAL005C	I	139503	141431	-	1929	672	773	764	752	609	222	810	741	782	1451	687	1189
YAL003W	I;I	142174;142620	142253;143160	+;+	621	1124	889	997	1085	858	460	987	1511	1109	1981	1699	2584
YAL002W	I	143707	147531	+	3825	111	90	91	118	60	86	44	66	58	99	76	146
YAL001C	I;I	147594;151097	151006;151166	-;-	3483	128	87	113	157	76	131	62	76	55	91	70	147
YAR002W	I	152257	153876	+	1620	130	148	138	168	82	280	65	126	102	125	127	281
YAR002C-A	I	154065	154724	-	660	349	314	310	400	221	432	113	206	201	265	197	382
YAR003W	I	155005	156285	+	1281	117	105	99	116	66	49	48	61	54	74	77	120
YAR007C	I	156754	158619	-	1866	209	148	160	192	145	118	77	70	70	129	84	128
YAR008W	I	158966	159793	+	828	74	56	42	73	43	182	16	38	29	33	35	78
YAR014C	I	166742	168871	-	2130	175	175	176	226	115	285	102	164	92	154	136	282
YAR015W	I	169375	170295	+	921	208	260	233	231	199	122	410	302	244	685	308	506
YAR018C	I	170396	171703	-	1308	75	69	39	89	51	96	28	42	27	59	44	79
YAR019C	I	172211	175135	-	2925	62	65	49	87	47	139	29	51	26	57	44	85
YAR020C	I	176856	177023	-	168	9	7	10	2	8	34	6	6	4	9	3	7
YAR027W	I	183770	184477	+	708	161	172	155	193	148	170	93	99	111	234	99	183
YAR031W	I	186836	187732	+	897	17	16	14	17	11	20	8	21	5	20	12	34
YAR033W	I	188107	188811	+	705	22	13	21	16	14	21	15	13	9	14	18	17
YAR035W	I	190193	192256	+	2064	93	47	91	86	60	18	22	16	16	29	18	38
YAR042W	I	192619	196185	+	3567	244	251	278	305	181	582	145	167	125	203	123	317
YAR050W	I	203403	208016	+	4614	25	26	16	31	16	32	14	11	14	23	17	36
YAR071W	I	225460	226863	+	1404	7	5	3	3	5	7	16	29	19	31	31	49
YAR073W	I	227742	228953	+	1212	6	2	2	2	4	4	6	4	0	6	8	14
YBL108C-A	II	7605	7733	-	129	0	1	0	0	0	0	1	0	0	0	0	0
YBL107C	II	9961	10551	-	591	63	54	52	107	54	132	40	65	76	75	69	125
YBL106C	II	10847	13879	-	3033	59	53	60	65	40	129	41	38	32	42	47	84
YBL105C	II	14241	17696	-	3456	354	273	313	357	199	546	157	204	190	244	218	461
YBL104C	II	18177	21293	-	3117	80	64	88	101	61	104	32	57	36	69	81	134
YBL103C	II	22076	23536	-	1461	113	104	99	113	68	312	67	59	71	102	65	143
YBL102W	II	24098	24745	+	648	233	155	140	201	102	134	90	94	108	144	95	163
YBL101C	II	24946	28299	-	3354	204	179	158	230	139	169	175	113	106	271	110	214
YBL100W-C	II	28427	28546	+	120	1	0	0	3	1	1	0	0	0	2	1	0
YBL099W	II	37053	38690	+	1638	979	771	836	959	614	314	431	525	536	788	466	932
YBL098W	II	39145	40527	+	1383	51	40	37	41	30	22	22	33	21	29	23	52
YBL097W	II	40831	43095	+	2265	17	29	20	29	10	37	17	18	11	23	21	63
YBL095W	II	43277	44089	+	813	110	79	74	108	72	78	30	49	50	63	51	94
YBL093C	II	44256	44918	-	663	166	157	126	214	157	222	103	156	107	142	165	270
YBL092W	II	45978	46370	+	393	3096	2753	2346	3205	2194	692	1715	2731	2008	3405	3022	4415
YBL091C-A	II;II	46565;47147	47058;47180	-;-	528	131	104	106	88	80	76	68	52	48	94	48	79
YBL091C	II	47363	48628	-	1266	733	564	577	681	547	967	339	400	347	607	436	664
YBL090W	II	48825	49358	+	534	54	48	43	53	27	41	29	64	40	59	48	91
YBL089W	II	49574	50953	+	1380	82	55	60	73	55	52	36	44	49	57	51	90
YBL088C	II	51019	59382	-	8364	130	94	107	136	91	87	53	102	74	125	76	148
YBL087C	II;II	59822;60698	60193;60739	-;-	414	1048	837	799	1021	711	354	712	1102	797	1301	1165	1663
YBL085W	II	63876	66818	+	2943	422	350	387	505	262	864	96	218	149	250	204	438
YBL084C	II	67169	69445	-	2277	145	110	90	122	73	139	37	49	42	63	50	96
YBL082C	II	69751	71127	-	1377	228	224	189	265	155	190	104	120	93	124	139	231
YBL080C	II	73070	74695	-	1626	82	47	56	62	44	85	30	50	28	55	43	53
YBL079W	II	75259	79767	+	4509	139	105	134	176	78	296	64	120	101	108	118	295
YBL078C	II	80378	80731	-	354	111	93	93	113	74	237	36	54	54	84	46	57
YBL076C	II	81043	84261	-	3219	987	892	931	1098	628	379	592	819	628	998	897	1823
YBL075C	II	84499	86448	-	1950	86	77	70	98	59	89	35	52	47	36	57	94
YBL074C	II	86722	87789	-	1068	15	14	10	13	6	4	12	20	9	18	9	13
YBL072C	II	88523	89125	-	603	808	661	731	916	547	207	442	837	630	928	799	1319
YBL071W-A	II	89978	90226	+	249	16	18	12	31	31	90	9	19	19	15	17	26
YBL069W	II	90741	92030	+	1290	80	58	59	95	52	64	36	72	47	82	61	130
YBL068W	II	92414	93394	+	981	75	51	61	72	53	74	32	83	57	85	102	199
YBL067C	II	93639	95882	-	2244	180	127	137	217	92	153	58	121	90	149	126	226
YBL066C	II	96669	100115	-	3447	79	84	90	107	46	204	37	56	29	45	41	81
YBL064C	II	100371	101156	-	786	268	206	178	252	137	73	126	129	155	222	135	205
YBL063W	II	101886	105221	+	3336	64	35	54	65	38	64	22	45	50	55	52	86
YBL061C	II	105316	107406	-	2091	190	142	128	226	93	320	106	150	109	151	132	296
YBL060W	II	107932	109995	+	2064	90	60	72	92	49	162	21	54	44	74	48	90
YBL059C-A	II;II	110125;110506	110420;110539	-;-	330	46	33	32	47	42	43	19	33	27	33	31	43
YBL058W	II	111437	112708	+	1272	520	397	449	559	310	446	265	314	301	420	338	612
YBL057C	II	112801	113427	-	627	189	158	155	151	141	125	91	127	92	161	142	172
YBL056W	II	113762	115168	+	1407	530	437	432	539	271	322	299	350	321	495	387	691
YBL055C	II	115573	116829	-	1257	118	121	92	139	105	56	74	106	70	124	96	218
YBL054W	II	117589	119166	+	1578	21	19	13	13	18	71	18	66	15	24	74	133
YBL052C	II	119379	121874	-	2496	129	85	72	123	55	223	51	62	57	55	69	148
YBL051C	II	122753	124759	-	2007	217	206	140	235	148	1029	155	205	125	201	200	399
YBL050W	II;II	125125;125271	125154;126119	+;+	879	323	229	243	306	196	514	102	134	159	225	151	283
YBL049W	II	126828	127244	+	417	35	27	23	36	21	15	7	19	15	19	15	15
YBL048W	II	127299	127610	+	312	2	3	7	5	5	3	1	3	2	4	4	7
YBL047C	II	127895	132040	-	4146	836	739	681	937	489	1312	485	432	415	677	395	960
YBL046W	II	132424	133749	+	1326	167	111	157	138	105	384	53	77	72	116	95	125
YBL045C	II	134143	135516	-	1374	448	385	322	419	260	613	230	194	259	359	204	425
YBL043W	II	136688	137461	+	774	25	21	25	27	21	46	12	11	10	18	10	28
YBL042C	II	138341	140260	-	1920	124	135	104	134	86	105	48	67	46	71	57	122
YBL041W	II	141247	141972	+	726	830	642	606	767	532	421	322	368	374	478	366	665
YBL040C	II;II	142112;142847	142749;142868	-;-	660	237	187	179	234	152	247	72	146	109	165	141	179
YBL039W-B	II	143393	143572	+	180	46	14	21	37	26	7	4	16	15	22	16	27
YBL039C	II	143989	145728	-	1740	100	71	74	96	52	83	77	192	84	126	216	392
YBL038W	II	146187	146885	+	699	133	71	82	120	46	128	61	69	68	101	94	132
YBL037W	II	147209	150286	+	3078	120	77	76	95	53	157	65	88	51	83	66	155
YBL035C	II	151493	153610	-	2118	45	32	48	41	39	47	20	27	28	34	20	51
YBL034C	II	153848	158389	-	4542	48	45	46	56	29	90	22	30	27	44	40	76
YBL033C	II	158656	159693	-	1038	323	260	197	253	202	385	156	124	152	195	141	178
YBL032W	II	160184	161329	+	1146	301	198	222	274	156	137	135	183	163	245	211	343
YBL031W	II	161699	162715	+	1017	61	33	37	35	28	106	11	44	30	34	43	64
YBL030C	II	163041	163997	-	957	906	712	931	935	629	286	389	415	459	579	420	804
YBL027W	II;II	168423;168809	168424;169376	+;+	570	2345	1917	2122	2389	1531	770	1417	2045	1555	2502	2340	3807
YBL026W	II;II	170623;170805	170676;171038	+;+	288	130	54	66	108	62	30	31	86	65	86	86	127
YBL025W	II	171481	171918	+	438	29	21	22	31	25	28	10	36	13	25	26	39
YBL024W	II	172534	174588	+	2055	137	97	102	144	87	155	76	194	106	153	158	306
YBL023C	II	174920	177526	-	2607	130	110	80	142	66	264	68	67	58	86	68	160
YBL022C	II	177874	181275	-	3402	314	283	278	360	188	382	193	235	229	293	233	484
YBL021C	II	181660	182094	-	435	80	70	65	64	65	147	44	48	38	63	54	80
YBL020W	II	182401	184125	+	1725	104	71	73	86	50	66	42	77	60	66	69	122
YBL019W	II	184353	185915	+	1563	55	35	43	44	33	56	17	39	30	38	28	59
YBL018C	II;II	185998;186428	186352;186474	-;-	402	59	38	46	67	34	6	29	28	26	49	61	62
YBL017C	II	186844	191583	-	4740	542	464	536	651	318	347	244	292	236	455	244	638
YBL016W	II	192451	193512	+	1062	92	67	68	88	63	207	46	81	55	95	89	148
YBL015W	II	194122	195702	+	1581	310	244	236	293	168	196	96	97	112	154	81	187
YBL014C	II	199064	201748	-	2685	67	50	42	51	31	69	28	45	22	28	43	95
YBL013W	II	202056	203261	+	1206	13	9	9	11	5	9	4	9	6	7	2	15
YBL011W	II	203538	205817	+	2280	320	254	296	366	181	463	132	210	155	235	205	400
YBL009W	II	207194	209224	+	2031	51	44	46	55	29	55	19	57	30	41	51	111
YBL008W	II	209653	212175	+	2523	62	66	54	78	57	115	26	53	36	55	51	83
YBL007C	II	212632	216366	-	3735	422	384	355	473	289	452	277	250	222	368	246	529
YBL006C	II	216587	217129	-	543	251	229	182	199	190	302	135	179	144	247	188	291
YBL005W	II	217470	220400	+	2931	86	54	56	61	38	69	56	114	93	114	99	237
YBL004W	II	227636	235117	+	7482	190	131	152	198	113	173	85	244	108	184	259	519
YBL003C	II	235394	235792	-	399	1245	966	1064	1254	846	98	300	637	600	791	606	1104
YBL002W	II	236492	236887	+	396	653	485	430	710	414	617	181	471	339	470	366	750
YBL001C	II	237153	237467	-	315	248	201	222	295	193	37	84	102	117	176	116	193
YBR001C	II	238941	241283	-	2343	208	193	149	235	101	187	76	107	103	135	91	196
YBR002C	II	241708	242568	-	861	85	56	64	95	47	191	49	81	45	64	69	153
YBR003W	II	242809	244230	+	1422	183	122	114	209	108	188	61	109	94	153	103	178
YBR004C	II	244366	245667	-	1302	125	85	97	113	74	82	35	106	66	115	70	154
YBR005W	II	245906	246547	+	642	183	187	186	178	160	83	121	143	104	280	86	195
YBR006W	II	247010	248503	+	1494	160	100	119	162	94	71	37	60	47	109	59	107
YBR007C	II	248806	251016	-	2211	117	82	89	138	92	248	34	66	61	71	65	134
YBR008C	II	252563	254209	-	1647	101	95	88	110	63	61	30	67	51	65	58	119
YBR009C	II	255373	255684	-	312	989	898	929	1196	678	733	354	678	552	675	733	1113
YBR010W	II	256331	256741	+	411	1187	810	820	1196	674	117	241	805	613	723	758	1201
YBR011C	II	257112	257975	-	864	2568	2174	1965	2451	1816	6487	923	1323	1157	1772	1384	1972
YBR014C	II	266725	267336	-	612	166	114	99	147	80	93	32	75	70	73	53	112
YBR015C	II	267710	269503	-	1794	390	340	278	437	245	233	215	251	195	309	255	476
YBR017C	II	270947	273703	-	2757	155	159	181	181	91	217	100	165	130	172	175	384
YBR018C	II	274427	275527	-	1101	19	15	21	23	15	6	11	12	4	9	7	12
YBR019C	II	276253	278352	-	2100	45	33	23	34	19	52	4	20	23	28	21	31
YBR020W	II	279021	280607	+	1587	40	24	30	44	25	39	8	18	21	25	20	33
YBR021W	II	281443	283344	+	1902	41	33	34	33	25	22	14	33	29	27	24	62
YBR022W	II	283738	284271	+	534	41	23	33	39	23	71	19	35	26	41	29	48
YBR023C	II	284428	287925	-	3498	379	326	307	451	189	458	129	175	199	229	200	388
YBR024W	II	289445	290350	+	906	70	42	61	71	33	64	29	41	27	53	45	77
YBR025C	II	290681	291865	-	1185	840	733	757	872	581	209	541	938	713	1104	931	1784
YBR026C	II	292877	294019	-	1143	167	146	136	197	111	83	80	90	99	166	88	167
YBR028C	II	294425	296002	-	1578	80	46	62	88	38	192	44	81	65	67	68	140
YBR029C	II	296369	297742	-	1374	176	110	101	132	99	181	83	160	101	154	141	269
YBR030W	II	298292	299950	+	1659	63	55	64	76	43	56	35	47	42	59	62	128
YBR031W	II	300166	301254	+	1089	1440	1475	1485	1579	1084	576	1131	1315	1021	1693	1313	2590
YBR033W	II	301944	304703	+	2760	66	56	36	63	37	44	17	31	24	40	32	56
YBR034C	II	304930	305976	-	1047	161	99	80	116	93	63	110	269	151	173	318	521
YBR035C	II	306269	306955	-	687	287	225	270	344	197	125	116	124	118	180	124	256
YBR036C	II	309081	310313	-	1233	620	547	540	631	427	591	312	349	275	545	312	631
YBR037C	II	310565	311452	-	888	95	101	70	109	65	77	66	58	59	76	43	102
YBR038W	II	311898	314789	+	2892	105	80	62	115	52	183	64	92	70	87	85	158
YBR039W	II	315575	316510	+	936	384	341	302	418	250	279	163	188	200	294	172	392
YBR040W	II	316968	317864	+	897	1	0	0	2	0	0	1	0	0	1	0	2
YBR041W	II	318266	320275	+	2010	209	143	170	223	126	167	112	180	115	196	131	265
YBR042C	II	320416	321609	-	1194	101	69	81	117	67	52	47	88	65	100	79	139
YBR043C	II	321876	323945	-	2070	220	156	116	210	100	158	57	94	56	94	86	164
YBR044C	II	324341	326059	-	1719	116	92	90	118	62	136	46	75	75	93	71	145
YBR045C	II	328173	330092	-	1920	23	18	17	14	12	38	8	24	12	12	17	21
YBR046C	II	330507	331511	-	1005	160	122	129	174	102	268	79	83	101	150	58	96
YBR047W	II	331833	332360	+	528	16	14	18	14	16	5	13	7	16	21	18	21
YBR048W	II;II	332831;333387	332875;333812	+;+	471	1256	1213	1105	1330	882	308	986	1170	806	1463	1274	2113
YBR049C	II	334386	336818	-	2433	116	105	96	127	95	168	53	86	48	99	108	170
YBR050C	II	337183	338199	-	1017	47	38	36	31	23	70	35	36	33	75	23	63
YBR052C	II	338720	339352	-	633	518	445	488	537	387	138	192	250	307	384	221	449
YBR054W	II	343101	344135	+	1035	32	20	19	26	26	23	70	56	34	137	33	90
YBR055C	II	344602	347301	-	2700	145	81	74	127	72	99	29	67	54	76	78	139
YBR057C	II	352193	353293	-	1101	212	139	158	189	123	279	62	120	93	114	104	181
YBR058C	II	353672	356017	-	2346	142	113	136	167	109	242	58	100	79	113	107	209
YBR058C-A	II	356324	356566	-	243	143	87	117	143	94	38	51	91	70	90	81	157
YBR059C	II	356861	360187	-	3327	464	369	427	540	335	1035	175	185	186	293	203	440
YBR060C	II	360652	362514	-	1863	91	50	65	83	50	84	34	70	37	72	74	140
YBR061C	II	364787	365719	-	933	36	33	34	33	17	25	16	52	34	33	31	85
YBR065C	II	368584	369678	-	1095	14	12	19	19	9	12	4	15	16	17	7	33
YBR066C	II	370037	370699	-	663	59	57	54	70	46	65	14	73	37	50	67	109
YBR067C	II	372103	372735	-	633	160	117	123	156	121	354	443	906	613	791	983	1742
YBR068C	II	373861	375690	-	1830	608	558	552	631	364	685	509	678	655	890	593	1242
YBR069C	II	376574	378433	-	1860	216	189	171	203	105	111	196	362	222	326	316	692
YBR070C	II	379221	379934	-	714	126	103	106	155	108	50	13	40	29	38	29	46
YBR072W	II	382030	382674	+	645	43	30	34	43	36	16	30	14	33	39	13	23
YBR073W	II	383112	385988	+	2877	240	190	193	276	168	464	63	132	91	155	144	242
YBR076W	II	390227	391291	+	1065	20	11	16	31	11	7	7	16	9	16	12	26
YBR077C	II	391805	392293	-	489	159	110	111	160	99	220	31	71	64	103	65	92
YBR078W	II;II	393123;393511	393180;394742	+;+	1290	1916	1858	1755	1934	1394	969	1097	1452	1275	2059	1395	2712
YBR079C	II	395383	398277	-	2895	584	387	466	596	333	459	320	654	436	602	742	1402
YBR080C	II	398614	400890	-	2277	261	226	231	225	156	442	129	169	144	224	154	363
YBR081C	II	401253	405251	-	3999	154	135	172	171	91	204	58	108	70	105	79	220
YBR082C	II;II	406628;407123	407027;407169	-;-	447	940	807	673	957	716	1909	417	540	478	767	507	1041
YBR083W	II	409169	410629	+	1461	131	108	97	128	84	350	55	99	77	107	85	170
YBR084W	II	411054	413981	+	2928	326	315	307	391	201	233	184	312	215	306	325	776
YBR084C-A	II;II	414186;415260	414753;415261	-;-	570	1732	1443	1546	1797	1135	807	884	1468	1109	1731	1655	2654
YBR085W	II	415983	416906	+	924	18	21	28	26	19	20	27	66	28	56	36	79
YBR086C	II	420201	423041	-	2841	585	502	446	620	355	722	286	403	335	455	389	825
YBR087W	II	423765	424829	+	1065	91	99	52	103	65	58	30	87	57	78	88	128
YBR088C	II	424990	425766	-	777	128	106	96	110	95	43	44	83	58	92	85	126
YBR089C-A	II	426190	426489	-	300	359	261	267	397	266	78	105	178	170	232	162	260
YBR091C	II	427155	427484	-	330	31	24	28	40	28	28	12	27	16	30	31	37
YBR092C	II	427698	429101	-	1404	52	39	51	59	24	78	188	306	190	286	313	476
YBR093C	II	429548	430951	-	1404	101	71	58	89	45	35	171	221	163	215	275	472
YBR094W	II	432036	434297	+	2262	78	69	78	104	41	99	44	69	37	73	68	146
YBR095C	II	434406	435698	-	1293	89	51	83	92	52	141	33	61	56	76	41	113
YBR097W	II	436951	441315	+	4365	67	43	50	55	40	66	33	57	54	45	41	83
YBR098W	II	441515	443590	+	2076	51	47	48	71	33	39	20	44	22	42	38	69
YBR101C	II	443821	444693	-	873	156	130	123	149	102	221	56	143	87	128	141	251
YBR102C	II	445062	447323	-	2262	91	59	78	91	52	85	41	60	47	73	50	110
YBR103W	II	447709	449316	+	1608	116	118	106	150	88	234	60	81	62	78	57	125
YBR104W	II	449667	450656	+	990	56	48	30	53	43	65	50	66	48	60	72	114
YBR105C	II	450881	451969	-	1089	210	172	144	196	107	404	80	144	103	148	129	174
YBR106W	II	452658	453224	+	567	1302	1089	1011	1269	903	207	727	834	731	1112	948	1518
YBR107C	II	453793	454530	-	738	56	59	49	61	42	71	20	44	23	51	30	48
YBR108W	II	454822	457665	+	2844	180	147	169	213	112	339	120	102	78	139	102	204
YBR109C	II	457919	458362	-	444	546	475	443	585	420	705	243	293	259	428	299	511
YBR110W	II	458872	460221	+	1350	163	130	146	189	84	216	71	123	91	131	94	191
YBR111C	II	461178	461873	-	696	436	304	354	405	267	150	140	196	215	339	161	362
YBR111W-A	II;II;II	462139;462290;462500	462209;462429;462579	+;+;+	291	77	55	46	65	45	16	13	32	37	40	27	53
YBR112C	II	462870	465770	-	2901	408	304	301	478	207	1066	231	296	200	351	278	611
YBR114W	II	467248	469620	+	2373	130	105	126	145	87	93	56	101	67	110	74	165
YBR115C	II	469748	473926	-	4179	209	174	220	254	148	147	180	180	146	283	183	361
YBR117C	II	474392	476437	-	2046	35	24	22	21	21	15	19	20	21	22	23	35
YBR118W	II	477671	479047	+	1377	2569	2182	2598	2423	1789	890	2007	2245	1661	2990	2637	3976
YBR119W	II;II	479338;479435	479345;480323	+;+	897	74	52	49	88	43	97	21	57	41	54	41	87
YBR120C	II	480435	480923	-	489	37	29	33	44	27	27	13	24	32	37	20	48
YBR121C	II	481364	483367	-	2004	889	688	743	913	492	533	535	751	580	923	870	1588
YBR122C	II	483970	484503	-	534	104	75	93	103	84	88	52	72	67	93	77	120
YBR123C	II	484742	486691	-	1950	145	98	106	116	80	138	36	81	71	83	84	173
YBR125C	II	487199	488380	-	1182	112	76	91	128	69	161	56	83	70	93	88	159
YBR126C	II	488905	490392	-	1488	1482	1481	1537	1768	1139	963	1219	1037	1015	1699	1025	1967
YBR126W-A	II	490850	491056	+	207	494	451	485	488	405	32	332	282	269	510	303	462
YBR127C	II	491269	492822	-	1554	948	912	963	1060	742	794	558	832	603	982	776	1470
YBR128C	II	493081	494115	-	1035	34	26	20	27	25	30	14	26	21	21	20	32
YBR129C	II	494353	495339	-	987	100	53	66	93	43	80	29	52	57	90	52	99
YBR130C	II	495592	496869	-	1278	144	93	96	161	97	442	44	139	86	96	110	232
YBR131W	II	497163	499277	+	2115	31	15	13	29	13	31	8	27	13	24	14	38
YBR132C	II	499652	501442	-	1791	155	114	95	161	62	108	54	77	77	125	49	121
YBR133C	II	501804	504287	-	2484	108	79	89	130	73	182	62	102	83	83	99	181
YBR135W	II	504854	505306	+	453	81	69	55	97	64	179	58	50	43	57	67	119
YBR136W	II	505668	512774	+	7107	67	66	59	89	47	58	36	43	33	53	54	90
YBR138C	II	513762	515336	-	1575	63	38	57	66	34	67	23	23	29	41	27	57
YBR140C	II	517350	526628	-	9279	226	183	186	254	144	127	112	147	148	215	152	381
YBR141C	II	527025	528038	-	1014	23	27	24	28	22	47	11	23	22	28	25	46
YBR142W	II	528317	530638	+	2322	55	37	50	57	29	60	32	94	62	54	77	205
YBR143C	II	530869	532182	-	1314	487	375	388	541	271	602	275	522	432	586	523	1039
YBR145W	II	533762	534817	+	1056	326	271	298	302	226	103	270	142	224	443	166	308
YBR146W	II	535260	536096	+	837	141	83	99	133	78	172	87	120	118	152	111	234
